"GNI" "LEB" "MatMortRatio" "MaSecondEdu" "ExYeEdu" "AdolesBirRa" "LabForParFe" "LabForParMa"
"Norway" 64992 81.6 4 96.7 17.5 0.067 61.2 68.7
"Australia" 42261 82.4 6 94.6 20.2 0.11 58.8 71.8
"Switzerland" 56431 83 6 96.6 15.8 0.028 61.8 74.9
"Denmark" 44025 80.2 5 96.6 18.7 0.048 58.7 66.4
"Netherlands" 45435 81.6 6 90.5 17.9 0.062 58.5 70.6
"Germany" 43919 80.9 7 97 16.5 0.041 53.6 66.4
"Ireland" 39568 80.9 9 78.6 18.6 0.113 53.1 68.1
"United States" 52947 79.1 28 94.8 16.5 0.28 56.3 68.9
"Canada" 42155 82 11 100 15.9 0.129 61.6 71
"New Zealand" 32689 81.8 8 95.3 19.2 0.157 62 73.8
"Singapore" 76628 83 6 81 15.4 0.088 58.8 77.2
"Sweden" 45636 82.2 4 87.3 15.8 0.055 60.3 67.9
"United Kingdom" 39267 80.7 8 99.9 16.2 0.177 55.7 68.7
"Iceland" 35182 82.6 4 91.6 19 0.087 70.5 77.4
"Korea (Republic of)" 33890 81.9 27 89.1 16.9 0.125 50.1 72.1
"Israel" 30676 82.4 2 87.3 16 0.101 57.9 69.1
"Luxembourg" 58711 81.7 11 100 13.9 0.1 50.7 64.6
"Japan" 36927 83.5 6 85.8 15.3 0.133 48.8 70.4
"Belgium" 41187 80.8 6 82.9 16.3 0.063 47.5 59.3
"France" 38056 82.2 12 83.2 16 0.088 50.7 61.6
"Austria" 43869 81.4 4 100 15.7 0.053 54.6 67.7
"Finland" 38695 80.8 4 100 17.1 0.075 55.7 64
"Slovenia" 27852 80.4 7 98 16.8 0.016 52.3 63.2
"Spain" 32045 82.6 4 73.1 17.3 0.095 52.5 65.8
"Italy" 33030 83.1 4 80.5 16 0.068 39.6 59.5
"Czech Republic" 26660 78.6 5 99.7 16.4 0.091 51.1 68.3
"Greece" 24524 80.9 5 67 17.6 0.146 44.2 62.5
"Estonia" 25214 76.8 11 100 16.5 0.164 56.2 68.9
"Cyprus" 28633 80.2 10 81.7 14 0.124 56 71.1
"Qatar" 123124 78.2 6 59 13.8 0.524 50.8 95.5
"Slovakia" 25845 76.3 7 99.5 15.1 0.164 51.1 68.6
"Poland" 23177 77.4 3 85.5 15.5 0.138 48.9 64.9
"Lithuania" 24500 73.3 11 94.3 16.4 0.125 55.8 67.3
"Malta" 27930 80.6 9 78.2 14.4 0.227 37.9 66.3
"Saudi Arabia" 52821 74.3 16 70.3 16.3 0.284 20.2 78.3
"Argentina" 22050 76.3 69 57.6 17.9 0.376 47.5 75
"United Arab Emirates" 60868 77 8 61.2 13.3 0.232 46.5 92
"Chile" 21290 81.7 22 76.4 15.2 0.338 49.2 74.8
"Portugal" 25757 80.9 8 48.2 16.3 0.111 54.9 66.2
"Hungary" 22916 75.2 14 98.7 15.4 0.209 44.8 60
"Bahrain" 38599 76.6 22 51.4 14.4 0.265 39.2 86.9
"Latvia" 22281 74.2 13 99 15.2 0.167 54.9 67.6
"Croatia" 19409 77.3 13 93.6 14.8 0.149 44.7 58.4
"Kuwait" 83961 74.4 14 56.3 14.7 0.387 43.6 83.1
"Montenegro" 14558 76.2 7 94.7 15.2 0.171 43 57.3
"Belarus" 16676 71.3 1 92.2 15.7 0.151 50.1 63.1
"Russian Federation" 22352 70.1 24 92.5 14.7 0.276 57.1 71.7
"Oman" 34858 76.8 11 57.1 13.6 0.275 29 82.6
"Romania" 18108 74.7 33 92 14.2 0.333 48.7 64.9
"Uruguay" 19283 77.2 14 50.3 15.5 0.313 55.6 76.8
"Bahamas" 21336 75.4 37 87.6 12.6 0.298 69.3 79.3
"Kazakhstan" 20867 69.4 26 98.8 15 0.267 67.7 77.9
"Barbados" 12488 75.6 52 87.7 15.4 0.357 65.9 76.6
"Bulgaria" 15596 74.2 5 95.7 14.4 0.212 47.9 59
"Panama" 18192 77.6 85 49.9 13.3 0.454 49 81.8
"Malaysia" 22762 74.7 29 71.3 12.7 0.209 44.4 75.5
"Mauritius" 17470 74.4 73 58 15.6 0.419 43.6 74.2
"Trinidad and Tobago" 26090 70.4 84 60.9 12.3 0.371 53 75.5
"Serbia" 12190 74.9 16 73.6 14.4 0.176 44.5 60.9
"Cuba" 7301 79.4 80 78.8 13.8 0.356 43.4 70
"Lebanon" 16509 79.3 16 55.4 13.8 0.385 23.3 70.9
"Costa Rica" 13413 79.4 38 50.5 13.9 0.349 46.6 79
"Iran (Islamic Republic of)" 15440 75.4 23 67.6 15.1 0.515 16.6 73.6
"Venezuela (Bolivarian Republic of)" 16159 74.2 110 50.8 14.2 0.476 51.1 79.2
"Turkey" 18677 75.3 20 60 14.5 0.359 29.4 70.8
"Sri Lanka" 9779 74.9 29 76.4 13.7 0.37 35.1 76.3
"Mexico" 16056 76.8 49 60.6 13.1 0.373 45.1 79.9
"Brazil" 15175 74.5 69 52.4 15.2 0.457 59.4 80.8
"Georgia" 7164 74.9 41 92.7 13.8 0.382 56.5 75.1
"Azerbaijan" 16428 70.8 26 97.4 11.9 0.303 62.9 69.6
"Jordan" 11365 74 50 78.5 13.5 0.473 15.6 66.6
"The former Yugoslav Republic of Macedonia" 11780 75.4 7 55.6 13.4 0.164 43.1 67.5
"Ukraine" 8178 71 23 95.9 15.1 0.286 53.2 66.9
"Algeria" 13054 74.8 89 31 14 0.413 15.2 72.2
"Peru" 11015 74.6 89 66.1 13.1 0.406 68.2 84.4
"Albania" 9943 77.8 21 87.9 11.8 0.217 44.9 65.5
"Armenia" 8124 74.7 29 95 12.3 0.318 54.2 72.6
"Bosnia and Herzegovina" 9638 76.5 8 69.8 13.6 0.201 34.1 57.3
"Ecuador" 10605 75.9 87 39.4 14.2 0.407 54.7 82.7
"China" 12547 75.8 32 71.9 13.1 0.191 63.9 78.3
"Fiji" 7493 70 59 64.5 15.7 0.418 37.5 72
"Mongolia" 10729 69.4 68 84.1 14.6 0.325 56.6 69.3
"Thailand" 13323 74.4 26 40.8 13.5 0.38 64.3 80.7
"Libya" 14911 71.6 15 41.9 14 0.134 30 76.4
"Tunisia" 10404 74.8 46 46.1 14.6 0.24 25.1 70.9
"Colombia" 12040 74 83 55.6 13.5 0.429 55.8 79.7
"Jamaica" 7415 75.7 80 70.2 12.4 0.43 56.1 70.9
"Tonga" 5069 72.8 120 88.3 14.7 0.666 53.5 74.6
"Belize" 7614 70 45 75.8 13.6 0.426 49.2 82.3
"Dominican Republic" 11883 73.5 100 53.1 13.1 0.477 51.3 78.6
"Suriname" 15617 71.1 130 47.1 12.7 0.463 40.5 68.8
"Maldives" 12328 76.8 31 32.7 13 0.243 56.2 77.5
"Samoa" 5327 73.4 58 60 12.9 0.457 23.5 58.4
"Botswana" 16646 64.5 170 77.9 12.5 0.48 71.9 81.6
"Moldova (Republic of)" 5223 71.6 21 96.6 11.9 0.248 37.6 44.2
"Egypt" 10512 71.1 45 60.6 13.5 0.573 23.7 74.8
"Gabon" 16367 64.4 240 36.1 12.5 0.514 56.2 65.4
"Indonesia" 9788 68.9 190 49.2 13 0.494 51.4 84.2
